Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.SEXO_DISCAPACIDAD,Value
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,14.78
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,12.92
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,12.11
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,19.57
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,21.04
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,24.58
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,25.60
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,23.60
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,20.77
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,18.12
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,15.66
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,13.72
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,12.45
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,13.87
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,13.87
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,11.27
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,10.58
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,20.22
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,21.81
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,25.03
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,26.67
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,25.43
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,23.55
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,21.38
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,19.03
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,17.02
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,15.99
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,17.43
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,17.43
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,14.76
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,13.80
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,24.60
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,22.20
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,19.70
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,17.30
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,15.40
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,14.20
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,15.60
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,14.90
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,13.00
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,32.70
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,31.00
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,28.60
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,26.20
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,25.20
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,23.90
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,22.20
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,22.50
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,21.40
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,24.30
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,21.90
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,19.50
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,17.10
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,15.10
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,14.20
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,15.40
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,14.70
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_F,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PWD,12.80
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,7.68
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,6.38
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,5.36
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,5.00
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,6.18
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO._T,5.05
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,65.55
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,67.01
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,68.03
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,65.73
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,67.69
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO._T,69.52
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,11.85
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,12.14
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,11.85
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,11.40
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,10.68
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_I,SERIE_TEMPORAL._L_ES_080502_9A,,10.90
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-16.91
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-17.20
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-16.93
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-16.26
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-16.04
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_J,SERIE_TEMPORAL._L_ES_080502_9B,,-15.15
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-3.54
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-3.55
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-3.53
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-4.43
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-5.88
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_K,SERIE_TEMPORAL._L_ES_080502_9C,,-5.57
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.84
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.71
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.22
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.75
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-6.26
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_L,SERIE_TEMPORAL._L_ES_080502_9D,,-5.72
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,6.67
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,5.44
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,4.37
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,4.07
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,5.06
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.M,4.09
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,8.84
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,7.45
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,6.49
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,6.06
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,7.44
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_G,SERIE_TEMPORAL._L_ES_080502_07,SEXO.F,6.12
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,71.48
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,73.09
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,73.97
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,71.44
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,73.04
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.M,74.99
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,59.63
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,60.95
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,62.11
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,60.04
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,62.36
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_H,SERIE_TEMPORAL._L_ES_080502_08,SEXO.F,64.09
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,28.60
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,29.28
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,32.58
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,33.73
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,32.41
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,29.11
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,26.06
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,23.46
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,20.07
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,20.49
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,22.62
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,23.46
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,17.59
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD._T,15.96
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,29.15
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,29.40
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,31.94
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,34.35
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,31.81
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,27.88
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,24.38
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,21.23
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,18.90
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,19.30
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,21.45
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,22.45
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,16.12
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.M,14.03
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,27.91
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,29.13
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,33.32
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,33.01
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,33.12
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,30.56
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,28.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,25.97
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,21.42
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,21.85
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,23.94
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,24.57
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,19.34
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.F,18.40
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,32.54
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,29.30
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,26.22
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,23.62
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64,20.24
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,37.27
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_E,SERIE_TEMPORAL._L_ES_080502_S2,SEXO_DISCAPACIDAD.Y16T64_PD,37.85
