Year,Units,general.territorio,Serie,DIM_DES.TIPO_ENFERMEDAD,Value
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.36
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.16
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.72
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.94
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,20.04
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.00
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,21.23
2010,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,68.24
2011,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,70.29
2012,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,78.04
2013,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,70.79
2014,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,72.65
2015,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,85.22
2016,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,76.81
2017,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,82.81
2018,UNIDAD_MEDIDA.PER_100000_POP,ES,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,84.99
2010,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,162.63
2011,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,162.54
2012,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,165.71
2013,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,147.60
2014,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,164.65
2015,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,192.31
2016,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,198.02
2017,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,196.34
2018,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_A,TIPO_ENFERMEDAD.NCD_CARDIO,212.40
2010,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,188.40
2011,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,190.41
2012,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,197.44
2013,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,196.02
2014,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,192.12
2015,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,194.15
2016,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,197.04
2017,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,196.85
2018,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_B,TIPO_ENFERMEDAD.NCD_CNCR,199.65
2010,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,46.56
2011,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,57.57
2012,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,52.70
2013,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,48.19
2014,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,48.72
2015,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,34.36
2016,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,22.87
2017,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,19.69
2018,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_C,TIPO_ENFERMEDAD.NCD_DIABTS,19.28
2010,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,39.74
2011,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,49.28
2012,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,53.47
2013,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,54.12
2014,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,58.63
2015,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,65.37
2016,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,63.39
2017,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,67.17
2018,UNIDAD_MEDIDA.PER_100000_POP,ES70,SERIE.SERIE_D,TIPO_ENFERMEDAD.NCD_CRESPD,74.26
