Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.FORMA_MEDIR_EMPLEO,Value
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.91
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.74
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.83
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,9.78
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,11.48
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,11.26
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.83
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.55
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.30
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.25
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.36
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.43
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.34
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.44
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.67
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.33
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,10.13
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,4.52
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,4.14
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,4.03
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,4.21
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.66
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.28
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.67
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,2.90
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.16
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.47
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.27
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.95
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.52
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_090202_01,,3.89
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.67
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.62
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.45
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.29
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.21
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.17
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.13
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.20
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.15
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.14
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.26
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.16
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_EMPLOYEES,3.08
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.97
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.90
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.71
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.56
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.42
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.38
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.24
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.39
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.24
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.32
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.55
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.35
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_090202_S1,FORMA_MEDIR_EMPLEO._L_WME_HOURS,3.14
