Year,Units,general.territorio,Serie,SERIE_TEMPORAL.Encabezado,DIM_DES.UMBRAL_POBREZA,Value
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,21.70
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.45
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,20.20
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.48
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.37
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.69
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.30
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.45
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.23
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.18
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.62
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.23
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.49
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.71
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.61
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.39
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,18.29
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.63
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.82
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.98
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.69
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.88
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.51
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.81
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.69
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.14
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.59
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,18.65
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,19.10
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.75
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,17.37
2010,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.78
2011,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.90
2012,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.72
2013,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.11
2014,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.78
2015,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.43
2016,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.97
2017,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.18
2018,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.60
2019,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.16
2020,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.76
2021,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.23
2022,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.88
2023,UNIDAD_MEDIDA.PT,ES,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,16.02
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,29.70
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,30.10
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,33.60
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,28.40
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,27.60
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,28.50
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,35.00
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,30.50
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,32.10
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,28.50
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,29.90
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,28.40
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,29.40
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_A,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_COUNTRY,26.10
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,23.80
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.60
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.10
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,21.10
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,21.70
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,24.40
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,20.60
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,22.90
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,23.70
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,18.80
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,22.00
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,24.10
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,19.40
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_B,SERIE_TEMPORAL._L_ES_010201_S1,UMBRAL_POBREZA._L_PL_NUTS2,17.50
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,25.00
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,27.70
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,31.60
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,23.40
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,25.20
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,25.50
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,28.10
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,25.90
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,29.00
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,22.70
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,28.00
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,26.80
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,25.30
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_C,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_COUNTRY,24.80
2010,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,20.40
2011,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,13.40
2012,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,19.70
2013,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,20.40
2014,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,19.20
2015,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,21.30
2016,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.70
2017,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,20.00
2018,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,21.20
2019,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.00
2020,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,18.50
2021,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,20.20
2022,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,17.50
2023,UNIDAD_MEDIDA.PT,ES70,SERIE.SERIE_D,SERIE_TEMPORAL._L_ES_010201_S2,UMBRAL_POBREZA._L_PL_NUTS2,19.50
