Year,Units,general.territorio,Serie,id_dim,DIM_DES_SEXO,DIM_DES_SUSTANCIA_ADICTIVA,Value
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,32.23
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,59.19
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,59.22
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,93.39
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,93.41
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,25.96
2015,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,25.98
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,140.55
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,142.9
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,236.06
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,240.1
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,46.21
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,46.96
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,54.57
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,55.48
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,88.21
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,89.72
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,21.34
2016,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,21.69
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,98.25
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,98.3
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,167.1
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,167.19
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,31.53
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,31.55
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,57.38
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,57.41
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,89.85
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,89.85
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,89.85
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,89.85
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,25.96
2016,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,25.98
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,133.51
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,136.2
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,223.31
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,227.9
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,44.91
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,45.79
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,51.08
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,52.11
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,82.29
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,83.99
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,20.30
2017,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,20.7
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,100.57
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,100.6
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,171.1
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,171.11
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,32.43
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,32.47
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,55.34
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,55.37
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,87.01
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,87.02
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,24.66
2017,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,24.68
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,143.95
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,147.2
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,242.92
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,248.6
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,46.45
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,47.49
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,52.69
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,53.9
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,82.23
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,84.16
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,23.59
2018,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,24.11
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,102.6
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,102.66
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,174.0
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,174.12
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,33.74
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,33.78
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,55.20
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,55.21
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,86.48
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,86.51
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,24.95
2018,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,24.98
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,150.26
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,154.2
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,248.16
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,254.8
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,53.96
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,55.36
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,52.11
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,53.49
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,81.20
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,83.4
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,23.50
2019,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,24.1
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,106.2
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,106.22
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,179.4
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,179.55
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,35.54
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,35.58
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,57.76
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,57.78
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,89.26
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,89.30
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,27.37
2019,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,27.4
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,129.1
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,129.10
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,212.1
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,212.15
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,47.68
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,47.68
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,47.68
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,47.68
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,42.06
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,42.06
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,42.06
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,42.06
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.83
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.83
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.83
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.83
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,20.71
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,20.71
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,20.71
2020,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,20.71
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,81.41
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,81.41
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,81.41
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,81.41
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,136.0
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_B,.,SEXO.M,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,136.08
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,28.68
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,28.68
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,28.68
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_C,.,SEXO.F,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,28.68
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,42.25
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_D,.,SEXO._T,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,42.28
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.96
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.96
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.96
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_E,.,SEXO.M,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,63.96
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,21.35
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,21.35
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,21.35
2020,UNIDAD_MEDIDA.PER_100000,ES,SERIE.SERIE_F,.,SEXO.F,SUSTANCIA_ADICTIVA.SUD_ALCOHOL,21.35
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,143
2021,UNIDAD_MEDIDA.PER_100000,ES70,SERIE.SERIE_A,.,SEXO._T,SUSTANCIA_ADICTIVA._L_SUD_ILLEGAL_DRUGS,143.00
